V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
3,4,5,6,10,12,14,16,18,21,55.7844030807101,112.63421685468
3,7,8,10,11,13,14,17,20,21,74.5624487542734,116.139292378419
3,5,8,10,11,15,16,17,20,21,1.37057294045466,282.992192669107
1,3,4,6,7,10,12,14,19,20,72.3832550365289,120.146042680971
1,3,4,5,10,12,14,17,20,21,29.5450117311162,146.843869955853
1,3,4,5,12,13,14,17,18,20,12.6247638032867,Inf
3,9,10,11,12,15,16,17,19,20,69.3023290696676,123.06473704572
4,6,8,9,10,12,15,17,18,20,62.8312464580215,117.613519139055
5,7,8,9,13,14,15,16,17,19,28.1934948307274,145.163800104485
1,2,4,5,6,9,10,13,14,15,75.6731662757447,117.62993697564
3,4,6,7,8,9,13,14,15,18,47.5841814472912,118.625356083885
1,2,3,7,9,10,11,13,15,17,66.460483645788,120.083826704148
1,2,5,9,11,12,15,17,20,21,67.152062512312,137.260528922462
1,3,5,7,8,10,11,13,18,19,95.3254322654369,121.562280531473
2,3,5,6,8,12,13,15,17,18,40.6839277611119,122.290996249917
2,3,7,9,10,12,15,16,18,21,0.894599772667954,Inf
3,4,5,7,9,14,17,18,19,21,22.8453756759955,182.005782844143
2,3,7,9,10,12,15,16,17,21,41.6438418896972,132.99277741133
4,6,7,8,10,16,17,18,20,21,81.7100047592309,98.1058245246722
1,4,8,10,11,12,13,16,17,20,65.6919093169291,115.269416697651
1,2,3,9,10,11,15,18,20,21,68.7507567079316,121.941609972964
3,4,5,6,7,13,16,18,19,21,70.038089518878,111.538563542054
2,4,5,11,13,14,17,18,20,21,81.6984256795174,123.788043067391
1,2,4,5,6,8,10,13,20,21,78.0361436193252,114.55595031966
2,3,5,10,12,14,17,18,19,21,48.7977052480421,170.119110553969
1,3,4,7,10,11,17,18,20,21,48.3139477393223,119.765458187414
2,4,5,8,9,14,16,19,20,21,0.753915560939229,333.692431699534
4,7,8,11,14,15,16,18,19,20,8.13722617283971,159.626684571547
1,3,10,11,13,14,15,17,19,20,68.5093965248959,123.150169429919
3,5,6,8,12,14,15,16,18,20,67.8719259280183,127.020772617905
1,2,4,7,9,12,15,18,20,21,1.30701163914811,Inf
2,4,5,6,10,15,16,17,20,21,66.5970800569593,91.7838708193219
1,2,4,10,11,12,15,16,17,19,1.07130927266574,Inf
2,4,7,11,12,13,15,16,19,21,89.5088073014719,117.032418372089
5,9,10,13,15,16,17,18,20,21,47.3802115745332,178.255061558329
1,2,8,10,11,12,14,17,20,21,83.7253921610092,121.284144857364
1,2,4,6,8,9,10,14,16,18,71.3605500043415,117.002884566936
3,8,9,10,13,15,17,19,20,21,29.732050710483,181.250985180382
2,4,7,8,9,10,14,15,20,21,14.2239523862061,Inf
1,3,7,13,14,15,16,18,19,20,15.1796015202143,200.147550430848
2,5,12,15,16,17,18,19,20,21,19.2023037562988,220.273087681755
2,3,4,8,13,16,17,18,19,20,40.9273096874528,174.628101718776
1,2,5,7,12,13,15,18,20,21,0.95867260175791,Inf
1,5,7,9,13,16,17,18,20,21,32.3808535784674,174.40171621704
3,4,5,8,10,11,17,18,19,20,75.3454257764969,123.81003787318
1,6,7,8,10,13,15,16,17,19,47.7728791287116,95.4898972046153
5,6,10,11,12,14,15,16,17,19,115.407901790721,69.5168494774834
1,3,4,8,12,13,14,19,20,21,9.68016709401187,Inf
1,3,4,6,7,9,10,16,17,18,54.0670166397521,112.113582285875
1,2,3,4,9,10,11,16,18,19,10.0699856688284,Inf
