V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse
1,5,8,10,11,12,14,15,17,19,21,1060.39057859786,3444.93911711966
1,3,4,8,10,11,12,17,18,20,22,655.696846871046,5153.78933889649
2,5,7,8,10,12,16,19,20,21,22,1899.58734155636,2408.52242006046
1,4,5,7,8,12,14,15,18,21,22,1303.7936899928,3431.30202113842
1,6,7,9,10,12,15,18,19,20,22,818.618173705704,3382.21531052152
1,2,3,6,7,8,9,12,15,16,19,1936.88811085124,3440.49133543136
3,4,5,7,9,12,13,16,17,19,21,1438.84665634939,2616.03042290294
3,4,6,8,12,13,15,16,18,19,20,1579.43433114482,3427.99839482701
2,3,4,7,8,11,12,13,14,16,21,1244.30122626419,2989.77141194864
1,5,7,9,10,12,13,14,18,20,21,1246.52805952585,3176.68817083309
1,2,5,6,7,8,9,10,12,18,21,1582.20138607184,2657.24704611834
3,4,5,6,8,9,11,14,18,19,20,1444.80745014755,3137.39162914346
3,4,5,6,7,12,13,16,17,18,19,121.46418535031,2198.48028628432
4,5,6,8,11,12,14,15,18,19,21,1440.56756988665,3176.77822603773
2,3,5,7,11,12,13,16,19,20,22,994.755611912423,2279.03270645696
1,3,4,6,7,10,14,17,18,19,21,701.032179984537,3610.39267417813
1,2,3,4,8,10,11,15,16,19,20,1284.81391598044,3595.33656815339
1,2,7,8,10,11,12,14,15,16,22,894.979612880404,3195.85778364599
1,2,4,12,14,15,16,18,20,21,22,1807.0994506803,3086.9422673551
3,5,7,8,10,13,15,17,18,19,21,27.9108306301592,10151.6783318774
3,4,8,9,10,12,13,14,17,18,19,730.287474547083,4078.31477267532
1,2,4,5,6,11,12,13,17,19,20,1481.08987695335,3479.70629044588
2,3,4,9,10,11,14,16,19,20,22,1061.27160335235,Inf
2,3,4,5,6,8,10,12,14,19,20,207.618845061314,Inf
4,5,6,8,9,13,14,15,19,20,22,1631.74178996433,3181.71269695276
2,5,6,7,8,9,10,14,17,20,22,993.237730952613,3198.69879999947
2,6,9,12,13,15,16,17,18,21,22,1173.11437328984,3287.90903435326
2,3,4,5,8,11,12,13,14,16,17,1287.22842958991,1564.19646945047
1,5,6,7,11,12,13,14,18,19,20,1407.83191883005,2785.82982566575
1,2,5,9,10,15,16,17,18,19,20,1214.82547870357,2671.85237381073
1,4,6,7,9,10,13,15,17,20,21,972.39952688594,3881.48241549511
5,7,8,9,13,14,15,17,18,20,22,1228.76796830144,3052.89774720038
1,2,6,8,10,13,14,17,19,21,22,1195.43829865852,3943.68827107714
3,4,7,8,9,10,13,14,15,17,18,1046.43090887673,3964.57397252518
2,3,5,7,8,12,14,16,17,18,21,402.871886018375,1305.11413431814
1,3,6,7,10,13,14,15,18,21,22,668.979045350116,3787.86038753982
2,5,6,7,8,14,15,18,19,20,21,1662.57121342545,2959.16036505555
2,3,4,7,8,12,16,17,18,19,21,10.853683110191,NA
3,5,9,11,12,13,14,17,19,20,22,1742.12414313492,3482.3037446462
1,2,4,5,6,11,13,15,18,21,22,945.428036304693,3360.25195960914
2,5,7,10,13,15,16,17,18,21,22,1877.98872694972,2405.26124420874
2,4,5,6,7,10,11,12,16,17,18,1963.66955800374,2373.36543838749
3,5,8,10,12,13,16,19,20,21,22,1982.36008575462,2540.2463113474
1,6,8,9,10,14,15,16,17,18,20,1282.56840202293,3037.34825659215
1,2,3,5,6,7,10,11,14,15,16,57.8439486473691,1257.54005236479
2,3,4,5,6,13,14,16,17,19,22,1927.20740334293,1470.04519523485
3,4,5,7,8,11,12,13,14,17,22,1665.65307064829,3245.75306254478
2,4,6,8,12,13,14,17,18,19,21,550.965182357467,4071.35898616161
1,2,3,6,10,12,13,16,18,21,22,938.945788097621,3110.35680318009
3,7,9,10,11,12,13,14,16,19,21,1477.47911241283,3201.15748177078
1,3,4,6,7,9,13,14,16,18,19,1880.91085058348,2888.35007533824
1,4,5,6,8,10,15,18,19,20,22,660.956050058391,3326.20686979016
2,6,7,8,9,12,13,16,19,20,21,1835.96163368299,3285.15982226911
1,5,7,8,9,11,17,18,19,21,22,1666.15921418049,3304.48228275244
