V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
1,2,3,7,9,10,14,15,18,19,151038.043270275,351451.123362231
1,6,7,9,10,11,13,14,15,21,205717.294347209,311946.56853571
4,5,6,7,11,16,17,19,20,21,211950.246684159,282833.070847974
1,3,11,13,14,15,17,19,20,21,162016.778285069,440744.377764488
1,3,4,5,6,8,13,15,16,19,186573.886925563,348368.249965097
1,2,5,7,8,11,16,17,18,19,237408.403845923,295897.255237092
1,3,4,5,10,11,12,16,18,19,223304.532114984,245477.222135245
5,7,8,9,10,12,14,15,18,21,210509.141140955,254875.015352506
3,4,6,10,13,15,18,19,20,21,173325.410323524,376932.844165423
1,3,7,8,9,12,14,19,20,21,156727.313746059,393399.229689148
1,2,3,4,5,15,17,18,19,20,189240.63199746,347890.598128809
4,5,6,10,11,12,13,17,18,19,269774.008600604,230430.091871652
1,4,8,9,14,15,16,17,18,19,127872.013733735,418938.338129579
3,5,6,8,9,12,14,16,19,20,19440.644618925,447351.305733641
1,6,9,12,13,15,16,17,20,21,107711.452982022,437558.725753098
1,5,7,9,12,13,16,18,20,21,160556.229208384,413397.595738619
2,4,7,8,12,14,16,18,19,21,108595.167149507,432090.110746533
3,5,6,11,13,14,15,16,18,20,106705.295662525,344729.628737429
3,4,6,8,9,12,17,18,19,20,41949.6541204725,784674.233616452
1,2,4,10,13,16,17,18,20,21,119299.746561421,374652.431675501
6,7,8,11,12,14,15,16,18,21,179054.232252067,413282.042733258
2,5,6,9,12,13,14,17,20,21,198809.001035402,340587.605543936
3,4,5,6,10,12,14,16,18,21,5685.36736142379,462182.542257304
3,7,8,10,11,13,14,17,20,21,163468.068897451,333721.259038599
3,5,8,10,11,15,16,17,20,21,239928.541977137,257426.330484177
1,3,4,6,7,10,12,14,19,20,211725.767670348,328113.837848496
1,3,4,5,10,12,14,17,20,21,230930.734111241,266319.768053666
1,3,4,5,12,13,14,17,18,20,174540.535267801,338989.514224169
3,9,10,11,12,15,16,17,19,20,195269.353137599,341475.572709058
4,6,8,9,10,12,15,17,18,20,124797.427342869,433903.807596128
5,7,8,9,13,14,15,16,17,19,162791.379071227,320176.742110303
1,2,4,5,6,9,10,13,14,15,203241.42286204,246163.968233674
3,4,6,7,8,9,13,14,15,18,84633.4163307379,411341.699296262
1,2,3,7,9,10,11,13,15,17,70098.8618604522,535615.747325843
1,2,5,9,11,12,15,17,20,21,178122.576463414,320503.003033162
1,3,5,7,8,10,11,13,18,19,271440.715519909,237737.514859862
2,3,5,6,8,12,13,15,17,18,182903.985192601,370607.723352516
2,3,7,9,10,12,15,16,18,21,178360.468179334,376347.179078581
3,4,5,7,9,14,17,18,19,21,239071.090842058,307745.578983989
2,3,7,9,10,12,15,16,17,21,207506.638455028,359746.827627988
4,6,7,8,10,16,17,18,20,21,182602.37038327,350861.88230561
