V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse,bestlam_numpred
1,3,7,8,9,12,14,16,18,20,22,1309.84859848722,3796.09646142335,2
1,2,3,7,10,11,16,19,20,21,22,1110.16849687953,4364.46408830218,3
1,3,5,6,9,11,12,14,20,21,22,341.081268072081,3835.43213399281,5
1,3,4,5,7,9,11,16,18,19,21,180.421858036953,4170.11376566981,7
1,2,5,6,8,9,12,13,14,16,17,920.501744525654,4826.32158710463,0
4,5,6,9,11,12,15,16,17,21,22,805.88756336941,3993.66839893128,2
1,3,4,8,9,10,11,13,14,18,21,2358.38858995705,2151.47018358311,1
1,2,4,8,9,12,13,15,17,19,22,2690.15879282479,1858.18430903243,1
1,2,3,7,8,10,11,14,18,19,20,2183.36619918954,2646.70471700491,1
1,3,4,7,8,9,10,11,16,17,20,1878.60441369479,3037.25813261682,1
1,6,9,10,11,13,16,18,19,21,22,1035.16082871437,3642.93725892624,2
1,2,4,5,6,11,13,14,15,16,19,428.991013052864,5300.13347578224,5
3,5,6,7,11,13,16,17,18,20,22,848.24734862077,4238.26890360469,0
1,2,7,8,9,10,13,15,17,19,21,1965.5596255087,1985.5175511844,2
1,3,4,5,6,8,11,14,18,21,22,541.875746161745,3820.06525950644,5
1,2,3,8,9,12,14,16,17,19,20,1725.91349024127,3591.24762246066,0
1,4,5,6,7,8,9,10,12,16,22,1443.31793263301,3974.54911403907,1
1,6,8,11,12,14,15,16,17,20,21,785.795188554908,4126.80648337553,2
1,3,5,7,9,10,11,14,16,21,22,224.91783862467,4921.30233280691,6
1,2,3,7,8,11,12,14,18,19,22,2040.12046339558,2864.78061047103,1
1,3,4,5,8,10,11,14,18,20,21,1622.64746331163,3690.54257945176,1
4,5,6,7,9,12,14,15,16,19,20,790.568739899733,4395.00231973039,0
2,3,5,6,7,8,10,13,16,18,19,1081.54332663104,4270.83477209088,1
1,2,3,4,5,6,7,10,17,21,22,2309.53017303733,3320.78609471317,1
1,3,4,7,10,14,15,16,19,20,22,1405.88106785182,3604.65788036395,1
1,5,8,10,11,12,14,15,17,19,21,2473.66632782852,3206.6775559382,0
1,3,4,8,10,11,12,17,18,20,22,2212.28113728141,2893.69149023959,0
2,5,7,8,10,12,16,19,20,21,22,1613.6296622725,3991.80524360053,1
1,4,5,7,8,12,14,15,18,21,22,1923.71365647383,3493.291618683,1
1,6,7,9,10,12,15,18,19,20,22,264.018927290075,7038.30735902045,7
1,2,3,6,7,8,9,12,15,16,19,1997.11802558341,3148.38683412732,0
3,4,5,7,9,12,13,16,17,19,21,17.2692988413904,5193.5534111773,8
3,4,6,8,12,13,15,16,18,19,20,1517.72212998423,3163.56996206499,0
2,3,4,7,8,11,12,13,14,16,21,1254.04692337181,3804.11741296919,1
1,5,7,9,10,12,13,14,18,20,21,2014.21437224276,3454.92311257549,2
1,2,5,6,7,8,9,10,12,18,21,168.886137422467,5625.98702209403,7
3,4,5,6,8,9,11,14,18,19,20,1336.17054091943,3691.17011974114,2
3,4,5,6,7,12,13,16,17,18,19,1255.8720716291,4044.63782315741,1
4,5,6,8,11,12,14,15,18,19,21,2487.89571429816,3397.68545833656,0
2,3,5,7,11,12,13,16,19,20,22,1347.36244388678,4084.14831644408,1
1,3,4,6,7,10,14,17,18,19,21,2055.95674523568,3116.5799742454,1
1,2,3,4,8,10,11,15,16,19,20,1435.58537873123,3144.06324811461,1
1,2,7,8,10,11,12,14,15,16,22,1254.14691540905,3578.02449881538,0
1,2,4,12,14,15,16,18,20,21,22,1662.2939877746,3567.08933771512,1
3,5,7,8,10,13,15,17,18,19,21,2664.71740002858,2995.99687488909,0
3,4,8,9,10,12,13,14,17,18,19,2231.08808974884,2224.611950309,1
1,2,4,5,6,11,12,13,17,19,20,298.128266280313,3541.09099347611,7
2,3,4,9,10,11,14,16,19,20,22,671.146229544384,4385.58636944997,2
2,3,4,5,6,8,10,12,14,19,20,2557.26220393036,3575.59127366537,1
4,5,6,8,9,13,14,15,19,20,22,65.2855707657449,5047.57987618325,8
2,5,6,7,8,9,10,14,17,20,22,2123.89232133308,3632.69096024067,1
2,6,9,12,13,15,16,17,18,21,22,1164.19646762082,3468.64217113124,0
2,3,4,5,8,11,12,13,14,16,17,831.569723737578,5152.00881737084,0
