pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc
BY_recon_50,BY_recon_80,0.20,0.07213,0.049,-0.189,120.4
BY_recon_100,BY_recon_80,3.09,0.00735,0.436,0.295,114.7
RY_discon_10,BY_recon_80,1.51,0.24836,0.274,0.092,117.5
RY_discon_15,BY_recon_80,0.88,0.48078,0.181,-0.024,118.8
RY_discon_20,BY_recon_80,0.69,0.58136,0.147,-0.066,119.2
RY_discon_50,BY_recon_80,0.54,0.69227,0.119,-0.101,119.6
RY_discon_80,BY_recon_80,0.49,0.70339,0.108,-0.115,119.7
RY_discon_100,BY_recon_80,0.50,0.68919,0.112,-0.111,119.7
RY_recon_10,BY_recon_80,0.67,0.04086,0.143,-0.071,119.3
RY_recon_15,BY_recon_80,0.54,0.04730,0.118,-0.102,119.6
RY_recon_20,BY_recon_80,0.41,0.05898,0.093,-0.133,119.9
RY_recon_50,BY_recon_80,0.31,0.06867,0.071,-0.161,120.2
RY_recon_80,BY_recon_80,0.11,0.15818,0.026,-0.218,120.7
RY_recon_100,BY_recon_80,0.36,0.19787,0.084,-0.146,120.0
SY_discon_80,BY_recon_80,0.18,0.97914,0.044,-0.195,120.5
SY_discon_100,BY_recon_80,0.17,0.92291,0.041,-0.199,120.5
BY_min_flow_sepdec,BY_recon_80,0.35,0.17988,0.080,-0.150,120.1
RY_min_flow,BY_recon_80,0.53,0.13022,0.117,-0.104,119.6
SY_min_flow_janjul,BY_recon_80,0.12,0.09000,0.029,-0.214,120.7
tot_flow_CFLP,BY_recon_80,0.10,0.19634,0.024,-0.220,120.7
BY_tot_flow_sepdec,BY_recon_80,0.96,0.26820,0.193,-0.009,118.6
RY_tot_flow,BY_recon_80,0.13,0.15566,0.031,-0.212,120.6
SY_tot_flow_janjul,BY_recon_80,0.27,0.06505,0.063,-0.172,120.3
log_tot_flow_CFLP,BY_recon_80,0.10,0.96222,0.024,-0.221,120.7
log_BY_tot_flow_sepdec,BY_recon_80,1.87,0.16942,0.319,0.148,116.8
log_RY_tot_flow,BY_recon_80,0.10,0.89658,0.023,-0.221,120.7
log_SY_tot_flow_janjul,BY_recon_80,0.18,0.58951,0.043,-0.197,120.5
BY_FA_Mag,BY_recon_80,2.53,0.30570,0.559,0.338,80.5
BY_FA_Tim,BY_recon_80,1.91,0.03679,0.489,0.233,81.6
BY_FA_Dur,BY_recon_80,1.95,0.54207,0.494,0.241,81.5
RY_Wet_Tim,BY_recon_80,2.84,0.00852,0.415,0.269,115.1
RY_Wet_BFL_Dur,BY_recon_80,9.80,0.31542,0.710,0.638,107.4
RY_SP_ROC,BY_recon_80,0.23,0.86828,0.055,-0.181,120.4
RY_DS_Mag_50,BY_recon_80,0.93,0.10955,0.189,-0.014,118.7
RY_DS_Mag_90,BY_recon_80,1.14,0.04992,0.221,0.027,118.2
RY_FA_Mag,BY_recon_80,1.40,0.21085,0.412,0.119,83.3
RY_FA_Tim,BY_recon_80,0.03,0.42447,0.015,-0.477,86.9
RY_FA_Dur,BY_recon_80,0.45,0.21982,0.184,-0.224,85.6
RY_Wet_BFL_Mag_50,BY_recon_80,0.15,0.19407,0.037,-0.204,120.6
RY_DS_Tim,BY_recon_80,0.54,0.64260,0.120,-0.100,119.6
RY_SP_Tim,BY_recon_80,1.79,0.78258,0.310,0.137,116.9
RY_DS_Dur_WS,BY_recon_80,0.20,0.41872,0.047,-0.191,120.5
SY_Wet_Tim,BY_recon_80,1.09,0.35309,0.214,0.017,118.3
SY_Wet_BFL_Dur,BY_recon_80,0.12,0.10469,0.030,-0.212,120.6
SY_SP_ROC,BY_recon_80,1.16,0.67200,0.224,0.030,118.2
BY_recon_10,BY_recon_100,12.94,0.00004,0.764,0.705,105.1
BY_recon_15,BY_recon_100,7.93,0.00014,0.665,0.581,109.0
BY_recon_20,BY_recon_100,5.02,0.00046,0.557,0.446,112.0
BY_recon_50,BY_recon_100,3.16,0.00242,0.441,0.301,114.6
BY_recon_80,BY_recon_100,3.09,0.00735,0.436,0.295,114.7
RY_discon_10,BY_recon_100,3.16,0.83227,0.441,0.301,114.6
RY_discon_15,BY_recon_100,3.11,0.65324,0.438,0.297,114.7
RY_discon_20,BY_recon_100,3.08,0.56733,0.435,0.294,114.7
RY_discon_50,BY_recon_100,3.07,0.49911,0.434,0.293,114.7
RY_discon_80,BY_recon_100,3.07,0.49539,0.434,0.292,114.7
RY_discon_100,BY_recon_100,3.07,0.47813,0.434,0.292,114.7
RY_recon_10,BY_recon_100,3.47,0.00094,0.465,0.331,114.1
RY_recon_15,BY_recon_100,3.41,0.00103,0.460,0.325,114.2
RY_recon_20,BY_recon_100,3.41,0.00124,0.460,0.325,114.2
RY_recon_50,BY_recon_100,3.72,0.00180,0.482,0.352,113.8
RY_recon_80,BY_recon_100,3.62,0.00745,0.475,0.344,113.9
RY_recon_100,BY_recon_100,3.21,0.02151,0.445,0.307,114.5
SY_discon_80,BY_recon_100,3.07,0.40734,0.434,0.293,114.7
SY_discon_100,BY_recon_100,3.07,0.36363,0.435,0.293,114.7
BY_min_flow_sepdec,BY_recon_100,3.07,0.00551,0.434,0.293,114.7
RY_min_flow,BY_recon_100,3.29,0.00520,0.451,0.314,114.4
SY_min_flow_janjul,BY_recon_100,3.15,0.00134,0.441,0.301,114.6
tot_flow_CFLP,BY_recon_100,3.67,0.01026,0.479,0.348,113.8
BY_tot_flow_sepdec,BY_recon_100,3.23,0.01959,0.446,0.308,114.5
RY_tot_flow,BY_recon_100,3.27,0.00652,0.450,0.312,114.4
SY_tot_flow_janjul,BY_recon_100,3.56,0.00224,0.471,0.339,114.0
log_tot_flow_CFLP,BY_recon_100,3.92,0.27744,0.495,0.369,113.5
log_BY_tot_flow_sepdec,BY_recon_100,3.44,0.82373,0.462,0.328,114.2
log_RY_tot_flow,BY_recon_100,3.75,0.27872,0.484,0.355,113.7
