pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc,loocv,n
BY_recon_20,RY_recon_50,1.382201734,0.007233365,0.256809723,0.071012153,117.7203089,1380,11
RY_Wet_BFL_Dur,SY_Wet_Tim,2.983772776,0.834710081,0.427243679,0.284054599,114.8548997,1380,11
RY_tot_flow,log_BY_tot_flow_sepdec,1.970251075,0.128041831,0.330011427,0.162514283,116.579703,1384,11
log_BY_tot_flow_sepdec,SY_Wet_Tim,2.103003807,0.191882778,0.344585039,0.180731299,116.33779,1387,11
RY_recon_100,log_BY_tot_flow_sepdec,1.918782092,0.142941571,0.324185291,0.155231613,116.6749441,1388,11
RY_DS_Mag_50,RY_DS_Mag_90,2.288269347,0.019436633,0.363894932,0.204868665,116.008837,1392,11
BY_recon_20,RY_recon_100,1.73599684,0.080969785,0.302649546,0.128311933,117.0200047,1396,11
BY_recon_100,RY_discon_50,3.069873551,0.49911134,0.434219018,0.292773773,114.7201133,1397,11
BY_recon_20,RY_recon_20,1.540305547,0.003296288,0.278018159,0.097522698,117.4018356,1398,11
log_tot_flow_CFLP,RY_DS_Mag_90,1.614379216,0.447307678,0.287543672,0.10942959,117.2557405,1400,11
BY_recon_20,log_SY_tot_flow_janjul,1.66777884,0.321089002,0.29425616,0.117820201,117.1516115,1401,11
BY_recon_20,RY_Wet_BFL_Mag_50,1.580633806,0.020817361,0.283235536,0.10404442,117.3220559,1401,11
BY_recon_15,RY_FA_Tim,1.769242486,0.069023712,0.469389404,0.204084107,82.56114819,1405,7
RY_recon_80,BY_FA_Mag,2.849259429,0.683664324,0.587565889,0.381348834,80.07389554,1405,7
BY_recon_10,SY_min_flow_janjul,4.846920355,0.000219163,0.547865264,0.43483158,112.2536182,1406,11
log_RY_tot_flow,RY_Wet_BFL_Dur,3.003787608,0.878160956,0.428880454,0.286100567,114.8234198,1407,11
RY_recon_100,BY_FA_Mag,3.230714964,0.587363699,0.617643092,0.426464638,79.54384172,1408,7
RY_Wet_BFL_Dur,RY_Wet_BFL_Mag_50,3.334689939,0.619498995,0.45464634,0.318307926,114.3156153,1408,11
SY_discon_80,SY_tot_flow_janjul,2.769257701,0.097840417,0.40909326,0.261366575,115.198076,1409,11
log_SY_tot_flow_janjul,RY_DS_Mag_90,1.457678798,0.558480368,0.267087685,0.083859607,117.5671225,1409,11
RY_discon_20,RY_DS_Dur_WS,2.358552182,0.092706017,0.370925977,0.213657472,115.886574,1410,11
BY_recon_20,SY_Wet_Tim,1.924618696,0.208080222,0.324851065,0.156063832,116.6641022,1412,11
RY_Wet_Tim,SY_Wet_Tim,1.845308772,0.160563466,0.315690555,0.144613194,116.8123482,1413,11
RY_discon_50,SY_Wet_Tim,1.899736738,0.246700598,0.322003646,0.152504557,116.7103968,1414,11
RY_discon_10,RY_Wet_Tim,3.330422005,0.499679519,0.454328823,0.317911029,114.3220179,1415,11
tot_flow_CFLP,RY_DS_Mag_90,1.570736783,0.132067417,0.281962125,0.102452657,117.3415813,1415,11
RY_discon_10,RY_DS_Dur_WS,2.618009897,0.077396974,0.395588695,0.244485868,115.44664,1420,11
RY_discon_20,SY_Wet_Tim,2.105221171,0.206252752,0.34482308,0.181028851,116.3337941,1420,11
